Threat Actor,Tool,Type
APT33,ROADtools,Reconnaissance
APT33,Azure Arc,Non-malicious tool
APT33,EagleRelay,Tunneling
APT34,Net,Info stealer
APT34,Net,Non-malicious tool
APT34,Net,OS native tool
APT34,Net,Reconnaissance
APT34,wget,Downloader
APT34,wget,Non-malicious tool
APT34,wget,OS native tool
APT34,Invoke-SMBClient,Privilege escalation
APT34,ExchangeLeech,Backdoor
APT34,Invoke-WMIExec,Non-malicious tool
APT34,Invoke-WMIExec,OS native tool
Agrius,Moneybird Ransomware,Ransomware
Agrius,SoftPerfect Network Scanner,Reconnaissance
Agrius,FileZilla,Downloader
Agrius,FileZilla,Exfiltration
Agrius,ASPXSpy,Web Shell
Agrius,ProtonVPN,Non-malicious tool
Agrius,ProtonVPN,Remote command
MuddyWater,WMIC,OS native tool
MuddyWater,netstat,Non-malicious tool
MuddyWater,netstat,OS native tool
MuddyWater,netstat,Reconnaissance
MuddyWater,Nltest,Non-malicious tool
MuddyWater,Nltest,OS native tool
MuddyWater,AADInternals,Reconnaissance
MuddyWater,Rport,Non-malicious tool
MuddyWater,eHorus,Non-malicious tool
MuddyWater,Mullvad VPN,Non-malicious tool
MuddyWater,Mullvad VPN,Obfuscation
MuddyWater,Mullvad VPN,Tunneling
MuddyWater,OpenSSH,Non-malicious tool
MuddyWater,OpenSSH,Tunneling
MuddyWater,DarkBit Ransomware,Exfiltration
MuddyWater,DarkBit Ransomware,Info stealer
MuddyWater,DarkBit Ransomware,Ransomware
MuddyWater,Cobalt Strike,Backdoor
MuddyWater,Cobalt Strike,Big Game Hunting
MuddyWater,Cobalt Strike,Control panel
MuddyWater,Cobalt Strike,Credential stealer
MuddyWater,Cobalt Strike,Downloader
MuddyWater,Cobalt Strike,Exfiltration
MuddyWater,Cobalt Strike,Keylogger
MuddyWater,Cobalt Strike,Loader
MuddyWater,Cobalt Strike,Remote command
MuddyWater,Cobalt Strike,Tunneling
MuddyWater,Cobalt Strike,Vulnerability scanner
MuddyWater,xcopy,OS native tool
Moses Staff,Telegram,Non-malicious tool
Moses Staff,DriveGuard,Loader
TeamTNT,LaZagne,Credential stealer
APT35,SoftPerfect Network Scanner,Reconnaissance
MuddyWater,POWERSTATS,Backdoor
MuddyWater,PowerSploit,Backdoor
MuddyWater,PowerSploit,Exfiltration
MuddyWater,PowerSploit,Info stealer
MuddyWater,PowerSploit,Reconnaissance
MuddyWater,LaZagne,Credential stealer
MuddyWater,Mimikatz,Credential stealer
MuddyWater,Koadic,Backdoor
MuddyWater,Koadic,Loader
MuddyWater,Koadic,Vulnerability scanner
MuddyWater,PowGoop,Downloader
MuddyWater,PowGoop,Loader
MuddyWater,Mori Backdoor,Backdoor
MuddyWater,Regsvr32,Non-malicious tool
MuddyWater,Regsvr32,OS native tool
MuddyWater,Canopy,Backdoor
MuddyWater,SHARPSTATS,Backdoor
MuddyWater,SHARPSTATS,Info stealer
MuddyWater,Small Sieve,Backdoor
MuddyWater,Syncro,Non-malicious tool
MuddyWater,quser.exe,Non-malicious tool
MuddyWater,quser.exe,OS native tool
MuddyWater,ConnectWise Control,Non-malicious tool
MuddyWater,Empire,Backdoor
MuddyWater,Empire,Control panel
MuddyWater,Empire,Credential stealer
MuddyWater,Empire,Keylogger
MuddyWater,Empire,Loader
MuddyWater,Empire,Reconnaissance
MuddyWater,Empire,Remote command
MuddyWater,Empire,Vulnerability scanner
MuddyWater,RemCom,Remote Access Trojan (RAT)
MuddyWater,RemoteUtilities,Remote command
MuddyWater,CrackMapExec,Reconnaissance
MuddyWater,CrackMapExec,Vulnerability scanner
